year,month,day,open
2020,10,18,11355.98
2020,10,17,11322.12
2020,10,16,11502.83
2020,10,15,11426.6
2020,10,14,11429.05
2020,10,13,11548.72
2020,10,12,11392.64
2020,10,11,11296.08
2020,10,10,11059.14
2020,10,9,10925.44
2020,10,8,10677.63
2020,10,7,10619.8
2020,10,6,10799.78
2020,10,5,10688.03
2020,10,4,10567.92
2020,10,3,10583.81
2020,10,2,10624.39
2020,10,1,10785.01
2020,9,30,10845.41
2020,9,29,10712.46
2020,9,28,10771.64
2020,9,27,10752.94
2020,9,26,10702.24
2020,9,25,10747.47
2020,9,24,10227.48
2020,9,23,10539.46
2020,9,22,10459.62
2020,9,21,10934.93
2020,9,20,11095.87
2020,9,19,10933.75
2020,9,18,10951.82
2020,9,17,10973.25
2020,9,16,10797.76
2020,9,15,10677.75
2020,9,14,10328.73
2020,9,13,10452.4
2020,9,12,10409.86
2020,9,11,10369.03
2020,9,10,10242.33
2020,9,9,10134.15
2020,9,8,10369.31
2020,9,7,10281.0
2020,9,6,10167.22
2020,9,5,10512.53
2020,9,4,10230.37
2020,9,3,11407.19
2020,9,2,11964.82
2020,9,1,11679.32
2020,8,31,11713.31
2020,8,30,11508.71
2020,8,29,11541.05
2020,8,28,11325.3
2020,8,27,11485.61
2020,8,26,11366.89
2020,8,25,11773.59
2020,8,24,11663.69
2020,8,23,11679.7
2020,8,22,11585.48
2020,8,21,11878.03
2020,8,20,11761.5
2020,8,19,11990.88
2020,8,18,12251.9
2020,8,17,11895.66
2020,8,16,11866.69
2020,8,15,11768.7
2020,8,14,11772.66
2020,8,13,11588.41
2020,8,12,11404.6
2020,8,11,11881.65
2020,8,10,11662.26
2020,8,9,11737.33
2020,8,8,11604.55
2020,8,7,11778.89
2020,8,6,11749.87
2020,8,5,11203.82
2020,8,4,11246.2
2020,8,3,11043.77
2020,8,2,11758.76
2020,8,1,11322.57
2020,7,31,11110.21
2020,7,30,11099.83
2020,7,29,10912.95
2020,7,28,11017.46
2020,7,27,9905.22
2020,7,26,9680.23
2020,7,25,9539.49
2020,7,24,9585.51
2020,7,23,9527.14
2020,7,22,9375.08
2020,7,21,9162.51
2020,7,20,9187.22
2020,7,19,9158.01
2020,7,18,9151.18
2020,7,17,9131.81
2020,7,16,9191.98
2020,7,15,9241.9
2020,7,14,9238.7
2020,7,13,9277.2
2020,7,12,9241.06
2020,7,11,9277.51
2020,7,10,9273.36
2020,7,9,9427.99
2020,7,8,9253.02
2020,7,7,9349.16
2020,7,6,9072.85
